time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_043724	22	16	24.54	22.29	20.78
20181209_043734	22	16	24.54	22.29	21.89
20181209_043745	22	16	24.22	22.31	22.01
20181209_043755	22	16	24.14	22.29	22.33
20181209_043805	22	16	24.46	22.31	22.28
20181209_043816	22	16	24.14	22.31	24.36
20181209_043826	22	16	23.49	22.28	20.94
20181209_043836	22	15	24.06	22.27	22.76
20181209_043847	22	15	24.54	22.28	22.04
20181209_043857	22	16	24.54	22.28	21.89
20181209_043907	22	16	24.54	22.28	23.43
20181209_043918	22	16	24.54	22.29	21.27
20181209_043928	22	16	24.22	22.27	21.64
20181209_043938	22	16	24.54	22.27	21.77
20181209_043949	22	16	24.86	22.28	21.25
20181209_043959	22	16	24.46	22.25	23.16
20181209_044009	22	16	24.46	22.27	21.02
20181209_044020	22	16	24.22	22.25	22.16
20181209_044030	22	15	23.82	22.25	20.69
20181209_044040	22	15	24.54	22.21	20.53
20181209_044051	22	15	24.22	22.23	20.10
20181209_044101	22	16	24.30	22.27	21.56
20181209_044111	22	17	24.38	22.28	24.27
20181209_044121	22	17	24.22	22.29	24.17
20181209_044132	22	17	24.54	22.31	25.37
20181209_044142	22	16	24.46	22.34	23.67
20181209_044152	22	16	24.14	22.39	22.71
20181209_044213	22	16	24.46	22.41	19.86
20181209_044223	22	16	24.38	22.42	19.96
20181209_044234	22	16	23.74	22.45	22.00
20181209_044244	22	15	24.46	22.44	23.16
20181209_044254	22	15	24.06	22.46	24.56
20181209_044305	22	15	24.22	22.46	19.61
20181209_044315	22	15	24.54	22.46	22.33
20181209_044325	22	15	24.30	22.45	21.72
20181209_044336	23	15	24.14	22.48	24.23
20181209_044346	22	16	24.86	22.50	20.79
20181209_044356	23	15	24.70	22.50	20.76
20181209_044407	23	15	24.30	22.48	20.12
20181209_044417	23	16	24.86	22.46	22.03
20181209_044427	23	15	24.62	22.45	22.59
20181209_044438	23	14	24.62	22.41	23.87
20181209_044448	23	15	24.86	22.39	24.61
20181209_044458	23	15	24.22	22.36	24.78
20181209_044509	22	15	23.58	22.34	25.32
20181209_044519	23	15	24.46	22.35	24.95
20181209_044529	22	14	24.46	22.28	25.10
20181209_044540	22	14	23.66	22.28	25.55
20181209_044550	22	14	25.11	22.27	24.42
20181209_044600	22	14	24.38	22.21	25.08
20181209_044611	22	15	23.82	22.24	23.08
20181209_044621	22	15	24.38	22.15	23.68
20181209_044631	22	15	24.46	22.15	24.14
20181209_044641	22	14	24.22	22.08	24.31
20181209_044652	22	14	24.22	22.08	22.84
20181209_044702	22	14	24.14	22.06	23.76
20181209_044712	22	14	23.90	22.03	23.96
20181209_044723	22	14	23.90	21.99	21.62
20181209_044733	22	15	24.22	21.95	24.73
20181209_044743	22	14	23.58	21.95	23.27
20181209_044754	22	14	23.41	21.89	23.49
20181209_044804	22	15	24.38	21.90	24.24
20181209_044825	22	15	24.14	21.84	24.58
20181209_044835	22	15	23.58	21.81	23.94
20181209_044845	22	15	23.98	21.80	24.68
20181209_044856	22	15	23.82	21.77	24.01
20181209_044906	22	15	23.90	21.74	23.27
20181209_044916	22	15	23.09	21.69	24.11
20181209_044927	22	15	24.70	21.63	23.41
20181209_044937	22	15	23.66	21.66	24.43
20181209_044958	21	15	24.06	21.62	24.50
20181209_045008	21	14	23.98	21.59	23.83
20181209_045018	21	14	23.09	21.59	24.29
20181209_045029	21	14	23.41	21.53	22.26
20181209_045039	21	14	23.01	21.52	24.10
20181209_045049	21	14	23.25	21.51	24.29
20181209_045100	21	14	23.90	21.51	24.98
20181209_045110	21	14	23.66	21.49	24.30
20181209_045120	21	14	23.74	21.48	24.33
20181209_045131	21	15	22.77	21.46	24.30
20181209_045141	21	15	23.01	21.42	24.16
20181209_045151	21	15	23.17	21.42	24.52
20181209_045201	21	15	23.58	21.42	24.15
20181209_045212	21	15	23.49	21.41	21.32
20181209_045222	21	15	23.90	21.37	22.45
20181209_045232	21	15	23.01	21.34	21.21
20181209_045243	21	15	22.85	21.37	23.25
