time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_073559	21	14	22.53	21.38	20.23
20181209_073609	21	14	22.85	21.38	19.88
20181209_073620	21	14	22.12	21.41	19.57
20181209_073630	21	14	22.45	21.44	19.67
20181209_073640	21	13	23.17	21.44	19.72
20181209_073651	21	13	22.77	21.42	19.71
20181209_073701	21	13	23.17	21.48	19.63
20181209_073711	21	13	22.93	21.48	19.71
20181209_073722	22	14	23.25	21.52	19.70
20181209_073732	22	14	23.25	21.48	19.73
20181209_073742	22	14	22.93	21.51	19.76
20181209_073753	22	14	23.25	21.53	19.65
20181209_073803	22	14	21.40	21.56	19.47
20181209_073824	22	14	23.17	21.56	19.50
20181209_073834	22	14	22.93	21.55	19.37
20181209_073844	22	14	24.14	21.56	19.23
20181209_073855	22	14	22.61	21.56	19.60
20181209_073905	22	13	23.25	21.55	19.21
20181209_073915	22	13	23.90	21.52	19.22
20181209_073926	22	13	23.25	21.51	20.01
20181209_073936	22	13	22.85	21.51	20.27
20181209_073946	22	14	23.09	21.49	20.12
20181209_073956	22	14	22.53	21.48	20.25
20181209_074007	22	14	23.01	21.48	19.97
20181209_074017	22	14	23.01	21.45	20.07
20181209_074027	22	14	23.17	21.42	19.90
20181209_074038	22	14	22.85	21.41	20.06
20181209_074048	22	14	23.41	21.40	20.05
20181209_074058	22	14	22.61	21.37	20.08
20181209_074109	22	14	22.21	21.35	20.13
20181209_074119	22	14	23.17	21.31	20.02
20181209_074129	21	13	23.25	21.30	19.86
20181209_074140	21	13	22.93	21.25	19.89
20181209_074150	21	13	21.96	21.24	19.92
20181209_074200	21	13	22.12	21.24	19.83
20181209_074211	21	13	23.17	21.19	19.74
20181209_074221	21	13	22.85	21.18	19.97
20181209_074231	21	13	22.53	21.15	19.85
20181209_074242	21	13	23.09	21.14	20.00
20181209_074252	21	13	22.85	21.14	19.95
20181209_074302	21	13	23.17	21.11	20.06
20181209_074313	21	13	22.61	21.07	19.72
20181209_074323	21	13	24.54	21.06	20.01
20181209_074333	21	13	22.61	21.06	20.06
20181209_074344	21	13	22.53	21.04	20.04
20181209_074354	21	13	22.93	20.97	19.99
20181209_074404	21	13	22.69	21.00	19.89
20181209_074415	21	13	22.53	20.93	20.18
20181209_074425	21	13	22.93	20.94	19.91
20181209_074435	21	13	22.53	20.87	19.77
20181209_074446	21	14	22.69	20.87	20.06
20181209_074456	21	14	22.85	20.87	20.03
20181209_074506	21	14	22.45	20.83	20.01
20181209_074516	21	14	21.96	20.83	20.07
20181209_074527	21	14	22.21	20.79	19.68
20181209_074537	21	14	22.12	20.78	20.15
20181209_074547	20	13	22.53	20.78	19.81
20181209_074608	20	13	22.12	20.75	19.91
20181209_074618	20	13	22.53	20.72	20.09
20181209_074629	20	13	22.45	20.72	19.94
20181209_074639	20	13	22.93	20.69	20.15
20181209_074649	20	13	22.61	20.69	19.99
20181209_074700	20	13	22.53	20.69	20.16
20181209_074710	20	13	21.72	20.68	20.03
20181209_074720	20	13	22.45	20.68	20.10
20181209_074731	20	13	22.53	20.68	19.67
20181209_074741	20	13	22.12	20.68	19.48
20181209_074751	20	13	22.21	20.68	19.87
20181209_074802	20	13	22.53	20.72	19.55
20181209_074812	20	13	21.88	20.75	19.68
20181209_074822	20	13	21.96	20.75	19.88
20181209_074833	20	13	22.12	20.79	19.52
20181209_074843	20	13	22.12	20.79	19.44
20181209_074853	20	13	22.61	20.83	19.39
20181209_074904	21	14	22.61	20.86	19.62
20181209_074914	21	14	22.45	20.89	19.53
20181209_074924	21	14	22.53	20.91	19.58
20181209_074935	21	14	22.53	20.96	19.48
20181209_074945	21	14	21.96	20.96	19.43
20181209_074955	21	14	22.12	21.00	19.50
20181209_075006	21	14	21.88	21.00	19.57
20181209_075016	21	14	22.85	21.03	19.52
20181209_075026	21	13	22.04	21.07	19.63
20181209_075036	21	13	22.77	21.07	19.55
20181209_075047	21	13	22.29	21.11	19.65
20181209_075057	21	13	23.25	21.11	19.62
20181209_075107	21	13	22.12	21.14	19.64
20181209_075118	21	13	22.29	21.17	19.61
20181209_075128	21	13	21.80	21.18	19.19
20181209_075138	21	13	22.93	21.19	19.07
20181209_075149	21	13	22.85	21.22	19.17
20181209_075159	21	13	22.61	21.21	19.33
20181209_075209	21	13	22.21	21.21	19.48
20181209_075220	21	13	23.41	21.21	19.50
20181209_075230	21	13	22.85	21.19	20.05
20181209_075240	21	13	22.61	21.21	19.99
20181209_075251	21	13	22.85	21.21	20.04
20181209_075301	21	14	22.04	21.19	19.99
20181209_075311	21	14	22.85	21.19	19.97
20181209_075322	21	14	22.37	21.18	20.13
20181209_075342	21	14	22.85	21.19	20.31
20181209_075353	21	14	22.93	21.19	20.28
20181209_075403	21	14	22.77	21.19	20.20
20181209_075413	21	14	22.21	21.19	20.25
20181209_075424	21	14	22.21	21.18	20.22
20181209_075434	21	14	22.61	21.17	20.56
20181209_075444	21	14	22.93	21.17	20.31
20181209_075455	21	14	22.93	21.21	20.18
20181209_075505	21	14	22.93	21.17	20.25
20181209_075515	21	14	22.85	21.18	20.23
20181209_075526	21	14	22.53	21.22	20.51
20181209_075536	21	14	22.61	21.18	20.28
20181209_075546	21	14	22.85	21.18	20.23
20181209_075556	21	14	22.85	21.18	20.18
20181209_075607	21	14	22.29	21.18	20.15
20181209_075617	21	14	22.77	21.18	20.34
20181209_075627	21	14	22.04	21.18	20.20
20181209_075638	21	14	22.12	21.21	20.26
20181209_075648	21	14	22.85	21.17	20.21
20181209_075658	21	14	22.69	21.17	20.21
20181209_075709	21	14	22.85	21.18	20.26
20181209_075719	21	14	22.77	21.19	20.30
20181209_075729	21	14	22.85	21.18	20.08
20181209_075740	21	14	22.12	21.17	20.28
20181209_075750	21	14	22.61	21.18	20.28
20181209_075800	21	14	22.29	21.15	20.23
20181209_075811	21	14	22.45	21.18	20.23
20181209_075821	21	14	22.77	21.17	20.13
20181209_075831	21	14	22.53	21.19	20.26
20181209_075842	21	14	22.85	21.18	20.34
20181209_075852	21	14	22.85	21.17	20.36
20181209_075902	21	14	22.61	21.18	20.31
20181209_075913	21	14	23.01	21.17	20.16
20181209_075923	21	14	23.01	21.19	20.18
20181209_075933	21	14	22.93	21.19	20.23
20181209_075944	21	14	22.93	21.17	20.15
20181209_075954	21	14	22.93	21.19	20.46
20181209_080004	21	14	22.61	21.18	20.38
20181209_080015	21	14	22.85	21.18	20.03
20181209_080025	21	14	23.01	21.18	20.00
20181209_080035	21	14	22.85	21.18	20.18
20181209_080046	21	14	22.85	21.18	20.36
20181209_080056	21	14	22.29	21.18	20.13
20181209_080106	21	14	22.12	21.21	20.53
20181209_080127	21	14	22.85	21.21	20.54
20181209_080137	21	14	22.53	21.21	20.12
20181209_080147	21	14	22.85	21.19	20.10
20181209_080158	21	14	22.37	21.18	20.10
20181209_080208	21	14	22.93	21.18	20.13
20181209_080218	21	14	22.21	21.19	20.20
20181209_080229	21	14	22.21	21.21	20.25
20181209_080239	21	14	22.85	21.19	20.26
20181209_080249	21	14	22.37	21.21	20.25
20181209_080300	21	14	22.29	21.18	20.17
20181209_080310	21	14	21.96	21.21	20.23
20181209_080320	21	14	22.85	21.21	20.15
20181209_080331	21	14	22.93	21.19	20.12
20181209_080341	21	14	22.85	21.19	20.26
20181209_080351	21	14	22.61	21.19	20.23
20181209_080402	21	14	22.53	21.18	20.25
20181209_080412	21	14	22.93	21.18	20.17
20181209_080422	21	14	22.93	21.21	20.49
20181209_080433	21	14	22.29	21.19	20.20
20181209_080443	21	14	22.85	21.19	20.15
20181209_080453	21	14	22.04	21.21	20.32
20181209_080504	21	14	22.12	21.21	20.13
20181209_080514	21	14	22.85	21.21	20.17
20181209_080524	21	14	22.93	21.21	20.18
20181209_080535	21	14	22.85	21.21	20.41
20181209_080545	21	14	23.01	21.19	20.23
20181209_080555	21	14	22.21	21.24	20.25
20181209_080606	21	14	23.17	21.21	20.17
20181209_080616	21	14	22.93	21.22	20.22
20181209_080626	21	14	22.85	21.22	20.20
20181209_080636	21	14	21.56	21.22	20.41
20181209_080647	21	14	22.53	21.24	20.25
20181209_080657	21	14	22.85	21.22	20.61
20181209_080707	21	14	22.61	21.22	20.28
20181209_080718	21	14	22.21	21.22	20.49
20181209_080728	21	14	22.61	21.24	20.38
20181209_080738	21	14	23.01	21.24	20.33
20181209_080749	21	14	22.61	21.25	20.18
20181209_080759	21	14	22.29	21.25	20.38
20181209_080809	21	14	22.37	21.22	20.32
20181209_080820	21	14	22.12	21.24	20.23
20181209_080830	21	14	22.53	21.24	20.23
20181209_080840	21	14	22.93	21.28	20.30
20181209_080901	21	14	22.85	21.22	20.15
20181209_080911	21	14	22.53	21.25	20.32
20181209_080922	21	14	23.17	21.22	20.18
20181209_080932	21	14	23.25	21.27	20.33
20181209_080942	21	14	23.17	21.25	20.30
20181209_080953	21	14	22.85	21.25	20.22
20181209_081003	21	14	22.85	21.24	20.23
20181209_081013	21	14	21.96	21.28	20.17
20181209_081024	21	14	22.93	21.25	20.28
20181209_081034	21	14	22.45	21.25	20.23
20181209_081044	21	14	22.61	21.25	20.23
20181209_081055	21	14	23.17	21.24	20.28
20181209_081105	21	14	22.85	21.25	20.18
20181209_081115	21	14	23.25	21.24	20.48
20181209_081126	21	14	22.93	21.24	20.28
20181209_081136	21	14	22.93	21.27	20.18
20181209_081146	21	14	22.29	21.27	20.14
20181209_081157	21	14	22.53	21.27	20.23
20181209_081207	21	14	23.25	21.25	20.17
20181209_081217	21	14	22.53	21.25	20.22
20181209_081227	21	14	22.77	21.22	20.07
20181209_081238	21	14	22.69	21.28	20.17
20181209_081248	21	14	22.85	21.30	20.07
20181209_081258	21	14	22.93	21.33	20.11
20181209_081309	21	14	23.41	21.33	19.78
20181209_081319	21	14	22.69	21.34	19.77
20181209_081329	21	14	23.01	21.37	19.57
20181209_081340	21	13	22.77	21.35	19.67
20181209_081350	21	13	22.61	21.40	19.61
20181209_081400	21	13	22.29	21.40	19.65
20181209_081411	21	13	23.17	21.40	19.56
20181209_081421	21	13	23.17	21.42	19.63
20181209_081431	21	13	22.85	21.41	19.56
20181209_081442	21	13	22.93	21.46	19.78
20181209_081452	21	13	22.85	21.46	19.50
20181209_081502	22	14	21.88	21.46	19.33
20181209_081513	22	14	22.37	21.45	19.37
20181209_081523	22	14	23.90	21.49	19.55
20181209_081533	22	13	22.61	21.53	19.37
20181209_081544	22	14	22.29	21.53	19.58
20181209_081554	22	13	22.77	21.51	19.35
20181209_081604	22	14	23.17	21.49	19.17
20181209_081615	22	13	23.01	21.46	19.82
20181209_081625	22	13	22.93	21.44	19.74
20181209_081646	22	14	23.74	21.42	19.97
20181209_081656	22	14	24.86	21.38	19.96
20181209_081706	22	14	23.01	21.38	19.96
20181209_081717	22	14	22.93	21.37	20.10
20181209_081727	21	13	22.12	21.33	19.88
20181209_081737	22	14	23.09	21.34	19.88
20181209_081747	21	13	22.29	21.34	19.44
20181209_081758	21	13	22.93	21.27	19.73
20181209_081808	21	13	22.85	21.28	19.62
20181209_081818	21	13	22.12	21.22	19.33
20181209_081829	21	13	22.93	21.21	19.55
20181209_081839	21	13	22.61	21.19	19.66
20181209_081849	21	13	22.77	21.15	19.41
20181209_081900	21	13	22.61	21.11	19.62
20181209_081910	21	13	21.64	21.08	19.67
20181209_081920	21	13	22.69	21.07	19.73
20181209_081931	21	13	22.69	21.07	19.81
20181209_081941	21	13	21.64	21.04	19.75
20181209_081951	21	13	21.96	21.01	19.81
20181209_082002	21	13	22.85	20.99	19.71
20181209_082012	21	13	22.85	21.00	19.91
20181209_082022	21	13	22.69	20.97	19.91
20181209_082033	21	13	22.93	20.93	19.85
20181209_082043	21	13	21.32	20.89	19.54
20181209_082053	21	13	22.37	20.89	19.77
20181209_082104	21	13	22.61	20.89	19.62
20181209_082114	21	13	22.04	20.83	19.90
20181209_082124	21	13	22.77	20.84	19.82
20181209_082135	21	13	22.69	20.82	19.88
20181209_082145	21	13	22.53	20.80	19.86
20181209_082155	21	14	22.29	20.78	19.70
20181209_082206	21	14	22.61	20.76	19.68
20181209_082216	21	14	22.69	20.75	19.69
20181209_082226	21	14	22.93	20.73	19.63
20181209_082237	21	14	22.29	20.72	19.84
20181209_082247	20	13	22.37	20.66	19.73
20181209_082257	20	13	22.53	20.69	19.92
20181209_082307	20	13	22.61	20.66	19.90
20181209_082318	20	13	22.53	20.66	19.94
20181209_082328	20	13	22.53	20.63	19.79
20181209_082338	20	13	22.61	20.60	19.87
20181209_082349	20	13	22.37	20.59	19.78
20181209_082359	20	13	22.53	20.60	20.03
20181209_082420	20	13	21.96	20.62	19.58
20181209_082430	20	13	21.88	20.60	19.41
20181209_082440	20	13	22.29	20.60	19.61
20181209_082451	20	13	22.53	20.65	19.43
20181209_082501	20	13	21.96	20.68	19.51
20181209_082511	20	13	22.37	20.68	19.42
20181209_082522	20	13	21.56	20.69	19.37
20181209_082532	21	14	22.21	20.71	19.35
20181209_082542	20	13	22.85	20.75	19.40
20181209_082553	20	13	22.21	20.78	19.60
20181209_082603	20	13	22.77	20.80	19.49
20181209_082613	21	14	22.61	20.83	19.42
20181209_082624	21	14	21.24	20.86	19.57
20181209_082634	21	14	21.88	20.90	19.45
20181209_082644	21	14	22.53	20.91	19.41
20181209_082655	21	14	22.53	20.93	19.59
20181209_082705	21	14	22.61	20.96	19.61
20181209_082715	21	14	21.96	21.00	19.55
20181209_082726	21	13	23.98	21.01	19.48
20181209_082736	21	13	21.96	21.04	19.67
20181209_082746	21	13	22.69	21.06	19.55
20181209_082757	21	13	22.93	21.08	19.51
20181209_082807	21	13	22.85	21.08	19.57
20181209_082817	21	13	24.70	21.10	19.33
20181209_082827	21	13	22.85	21.10	19.39
20181209_082838	21	13	24.46	21.14	19.28
20181209_082848	21	13	22.53	21.13	19.54
20181209_082858	21	13	24.30	21.11	19.86
20181209_082909	21	13	22.29	21.11	19.95
20181209_082919	21	13	22.21	21.10	20.11
20181209_082929	21	13	22.12	21.10	19.91
20181209_082940	21	14	22.61	21.13	20.24
20181209_082950	21	14	21.88	21.13	20.11
20181209_083000	21	14	22.85	21.14	20.24
20181209_083011	21	14	22.85	21.14	20.16
20181209_083021	21	14	22.61	21.10	20.19
20181209_083031	21	14	22.85	21.13	20.29
20181209_083042	21	14	22.45	21.14	20.29
20181209_083052	21	14	22.85	21.11	20.26
20181209_083102	21	14	22.85	21.11	20.14
20181209_083113	21	14	22.69	21.13	20.19
20181209_083123	21	14	22.53	21.13	20.27
20181209_083133	21	14	22.61	21.13	20.23
20181209_083144	21	14	23.09	21.15	20.28
20181209_083204	21	14	22.61	21.14	20.18
20181209_083215	21	14	22.85	21.13	20.09
20181209_083225	21	14	22.53	21.13	20.18
20181209_083235	21	14	22.61	21.13	20.21
20181209_083246	21	14	22.93	21.14	20.47
20181209_083256	21	14	22.61	21.14	20.08
20181209_083306	21	14	22.85	21.13	20.19
20181209_083317	21	14	22.77	21.17	20.13
20181209_083327	21	14	22.21	21.14	20.11
20181209_083337	21	14	22.29	21.14	20.15
20181209_083347	21	14	22.61	21.14	20.24
20181209_083358	21	14	22.85	21.15	20.39
20181209_083408	21	14	22.69	21.14	20.24
20181209_083418	21	14	22.85	21.14	20.18
20181209_083429	21	14	22.61	21.14	20.08
20181209_083439	21	14	22.61	21.14	20.06
20181209_083449	21	14	22.69	21.14	20.38
20181209_083500	21	14	23.25	21.17	20.29
20181209_083510	21	14	22.93	21.14	20.23
20181209_083520	21	14	22.93	21.15	20.41
20181209_083531	21	14	22.12	21.17	20.18
20181209_083541	21	14	22.85	21.17	20.11
20181209_083551	21	14	21.88	21.17	20.23
20181209_083602	21	14	22.12	21.15	20.21
20181209_083612	21	14	22.61	21.14	20.15
20181209_083622	21	14	22.53	21.17	20.36
20181209_083633	21	14	22.93	21.15	20.15
20181209_083643	21	14	22.21	21.17	20.25
20181209_083653	21	14	22.61	21.17	20.18
20181209_083704	21	14	22.21	21.14	20.18
20181209_083714	21	14	23.01	21.15	20.33
20181209_083724	21	14	23.66	21.15	20.29
20181209_083735	21	14	22.61	21.18	20.34
20181209_083745	21	14	22.85	21.18	20.23
20181209_083755	21	14	22.93	21.15	20.25
20181209_083806	21	14	22.37	21.15	20.10
20181209_083816	21	14	22.85	21.15	20.18
20181209_083826	21	14	22.61	21.17	20.15
20181209_083837	21	14	22.21	21.18	20.22
20181209_083847	21	14	22.69	21.17	20.28
20181209_083857	21	14	22.12	21.17	20.16
20181209_083908	21	14	22.93	21.17	20.34
20181209_083918	21	14	22.85	21.18	20.23
20181209_083928	21	14	22.77	21.18	
20181209_083938	21	14	22.29	21.17	20.29
20181209_083949	21	14	22.61	21.18	20.22
20181209_083959	21	14	22.69	21.19	20.18
20181209_084009	21	14	22.29	21.15	20.38
20181209_084020	21	14	22.53	21.15	20.15
20181209_084030	21	14	22.53	21.18	20.20
20181209_084040	21	14	22.69	21.17	20.15
20181209_084051	21	14	22.85	21.17	20.03
20181209_084101	21	14	21.40	21.17	20.23
20181209_084111	21	14	22.93	21.18	20.20
20181209_084122	21	14	22.53	21.18	20.38
20181209_084132	21	14	22.61	21.19	20.33
20181209_084142	21	14	22.53	21.19	20.20
20181209_084153	21	14	22.93	21.18	20.11
20181209_084203	21	14	21.72	21.17	20.33
20181209_084213	21	14	22.93	21.17	20.21
20181209_084224	21	14	21.88	21.17	20.16
20181209_084234	21	14	23.01	21.17	20.28
20181209_084244	21	14	22.93	21.17	20.25
20181209_084255	21	14	22.93	21.19	20.41
20181209_084305	21	14	23.01	21.18	20.25
20181209_084315	21	14	22.21	21.18	20.26
20181209_084326	21	14	22.85	21.19	20.41
20181209_084336	21	14	22.85	21.21	20.17
20181209_084346	21	14	22.69	21.18	20.36
20181209_084357	21	14	22.69	21.19	20.15
20181209_084407	21	14	23.17	21.17	20.18
20181209_084417	21	14	22.93	21.17	20.23
20181209_084428	21	14	22.29	21.19	20.23
20181209_084438	21	14	22.61	21.19	20.34
20181209_084448	21	14	22.21	21.18	20.23
20181209_084458	21	14	22.61	21.17	20.18
20181209_084509	21	14	22.93	21.17	20.23
20181209_084519	21	14	22.29	21.19	20.30
20181209_084529	21	14	22.85	21.18	20.38
20181209_084540	21	14	22.53	21.18	20.26
20181209_084550	21	14	22.53	21.18	20.33
20181209_084600	21	14	22.61	21.18	20.22
20181209_084611	21	14	22.21	21.18	20.20
20181209_084621	21	14	22.93	21.18	20.38
20181209_084631	21	14	22.93	21.19	20.31
20181209_084642	21	14	22.29	21.19	20.41
20181209_084652	21	14	22.04	21.18	20.54
20181209_084702	21	14	22.53	21.21	20.28
20181209_084723	21	14	22.61	21.22	19.99
20181209_084733	21	14	22.77	21.24	19.97
20181209_084744	21	14	22.69	21.27	19.83
20181209_084754	21	14	23.25	21.30	19.81
20181209_084804	21	14	23.17	21.31	19.70
20181209_084815	21	14	22.37	21.31	19.67
20181209_084825	21	14	22.61	21.34	19.62
20181209_084835	21	13	22.37	21.34	19.54
20181209_084846	21	13	22.93	21.33	19.47
20181209_084856	21	13	22.93	21.35	19.57
20181209_084906	21	13	22.85	21.37	19.46
20181209_084917	21	13	23.01	21.38	19.36
20181209_084927	21	13	22.93	21.40	19.51
20181209_084937	21	13	22.69	21.40	19.41
20181209_084948	21	13	22.29	21.40	19.26
20181209_084958	22	14	22.85	21.42	19.33
20181209_085008	22	14	23.33	21.42	19.69
20181209_085018	22	14	22.93	21.42	19.61
20181209_085029	22	14	23.01	21.41	19.75
20181209_085039	22	14	22.85	21.41	19.10
20181209_085049	22	14	22.61	21.41	19.74
20181209_085100	22	14	25.11	21.41	20.15
20181209_085110	22	14	22.21	21.37	19.95
20181209_085120	22	14	22.93	21.38	20.10
20181209_085131	22	14	22.93	21.34	20.24
20181209_085141	22	14	22.93	21.33	20.01
20181209_085151	21	13	22.53	21.28	19.73
20181209_085202	22	14	22.29	21.30	19.80
20181209_085212	21	13	22.93	21.25	19.79
20181209_085222	21	13	22.53	21.24	19.63
20181209_085233	21	13	21.72	21.24	19.50
20181209_085243	21	13	22.61	21.19	19.68
20181209_085253	21	13	22.29	21.19	19.71
20181209_085304	21	13	22.85	21.18	19.76
20181209_085314	21	13	22.53	21.15	19.62
20181209_085324	21	13	22.29	21.10	19.59
20181209_085335	21	13	22.53	21.10	19.65
20181209_085345	21	13	22.85	21.10	19.75
20181209_085355	21	13	22.85	21.06	19.70
20181209_085406	21	13	22.77	21.04	19.70
20181209_085416	21	13	22.53	21.00	19.63
20181209_085426	21	13	22.04	21.00	19.68
20181209_085437	21	13	22.69	20.97	19.60
20181209_085447	21	13	22.77	20.99	1
20181209_085457	21	13	22.29	20.93	19.64
20181209_085508	21	13	22.53	20.90	19.69
20181209_085518	21	13	22.53	20.89	19.53
20181209_085528	21	13	22.21	20.89	19.70
20181209_085538	21	13	22.69	20.84	19.67
20181209_085549	21	13	22.93	20.84	19.74
20181209_085559	21	13	22.21	20.82	19.60
20181209_085609	20	12	22.29	20.78	19.60
20181209_085620	21	14	22.53	20.76	19.63
20181209_085630	21	14	22.61	20.75	19.68
20181209_085640	21	14	22.04	20.73	19.84
20181209_085651	21	14	22.61	20.71	19.86
20181209_085701	20	13	22.53	20.69	19.76
20181209_085711	20	13	22.29	20.69	19.76
20181209_085722	20	13	22.29	20.69	19.76
20181209_085732	20	13	21.96	20.65	19.79
20181209_085742	20	13	21.96	20.65	19.79
20181209_085753	20	13	21.88	20.63	19.69
20181209_085803	20	13	21.72	20.60	19.72
20181209_085813	20	13	22.29	20.59	19.56
20181209_085824	20	13	22.37	20.59	19.75
20181209_085834	20	13	23.17	20.58	19.83
20181209_085844	20	13	22.29	20.58	19.83
20181209_085855	20	13	21.88	20.60	19.67
20181209_085905	20	13	22.29	20.59	19.64
20181209_085915	20	13	22.37	20.59	19.51
20181209_085926	20	13	22.12	20.60	19.61
20181209_085936	20	13	22.29	20.63	19.48
20181209_085946	20	13	22.37	20.63	19.71
20181209_085957	20	13	22.12	20.66	19.41
20181209_090007	20	13	22.29	20.72	19.69
20181209_090017	20	13	21.64	20.75	19.45
20181209_090028	21	14	22.85	20.73	19.35
20181209_090038	21	14	22.45	20.79	19.49
20181209_090048	20	13	21.96	20.79	19.53
20181209_090058	21	14	22.61	20.83	19.54
20181209_090109	21	14	23.25	20.84	19.51
20181209_090119	21	14	21.88	20.89	19.45
20181209_090129	21	14	21.88	20.90	19.61
20181209_090140	21	14	22.77	20.93	19.58
20181209_090150	21	14	22.53	20.96	19.56
20181209_090200	21	13	22.12	21.00	19.65
20181209_090211	21	13	23.09	21.00	19.61
20181209_090221	21	14	22.12	21.01	19.60
20181209_090242	21	13	21.88	21.06	19.63
20181209_090252	21	13	22.93	21.06	19.40
20181209_090302	21	13	23.17	21.07	19.37
20181209_090323	21	13	23.01	21.10	20.03
20181209_090333	21	13	21.96	21.08	20.03
20181209_090344	21	13	22.53	21.10	19.75
20181209_090354	21	13	22.53	21.10	19.98
20181209_090404	21	13	22.85	21.11	20.18
20181209_090415	21	14	22.69	21.11	20.26
20181209_090425	21	14	22.77	21.10	20.24
20181209_090435	21	14	21.96	21.10	20.24
20181209_090446	21	14	22.69	21.11	20.13
20181209_090456	21	14	22.04	21.10	20.27
20181209_090506	21	14	22.93	21.10	20.37
20181209_090517	21	14	21.56	21.11	20.21
20181209_090527	21	14	22.69	21.10	20.21
20181209_090537	21	14	22.77	21.11	20.24
20181209_090548	21	14	22.29	21.08	20.27
20181209_090558	21	14	23.01	21.10	20.23
20181209_090608	21	14	22.12	21.10	20.17
20181209_090618	21	14	22.93	21.10	20.19
20181209_090629	21	14	22.93	21.10	20.24
20181209_090639	21	14	21.48	21.10	20.23
20181209_090649	21	14	22.29	21.08	20.14
20181209_090700	21	14	22.53	21.07	20.27
20181209_090710	21	14	22.53	21.08	20.14
20181209_090720	21	14	22.53	21.10	20.21
20181209_090731	21	14	22.93	21.10	20.23
20181209_090741	21	14	22.77	21.10	20.17
20181209_090751	21	14	21.96	21.11	20.16
20181209_090802	21	14	22.61	21.10	20.11
20181209_090812	21	14	22.85	21.11	20.37
20181209_090822	21	14	22.61	21.11	20.23
20181209_090833	21	14	22.29	21.08	20.06
20181209_090843	21	14	22.53	21.10	20.27
20181209_090853	21	14	22.93	21.15	20.11
20181209_090904	21	14	22.85	21.19	22.37
